Facing,No_Bedroom,No_Bathroom,No_Balcony,Corner_Property,Furnishing,study room,servant room,store room,pooja room,Overlooking_main road,Overlooking_club,Overlooking_pool,Overlooking_NA,flat_age,sector_num,Super Built-up Area,luxury_category,floor_category,price
4.0,2,2.0,2,1,0.0,0,0,0,0,1,1,1,0,3,113,1795.5000000000002,2.0,1.0,1.81
3.0,2,2.0,3,1,1.0,0,0,0,1,0,0,0,0,3,113,1596.0,2.0,0.0,1.85
1.0,2,2.0,3,1,1.0,0,0,0,1,1,1,0,0,3,85,1741.0,1.0,1.0,1.71
2.0,2,2.0,4,1,1.0,0,0,0,0,1,1,0,0,3,88,1463.0,2.0,1.0,1.45
2.0,2,2.0,2,0,1.0,0,1,0,0,0,0,0,0,1,89,1620.0,2.0,2.0,1.62
1.0,2,2.0,3,1,1.0,1,0,1,0,1,1,1,0,3,67,1540.0,1.0,2.0,1.99
0.0,2,2.0,2,1,1.0,0,0,1,0,1,1,1,0,3,67,1350.0,1.0,1.0,1.61
4.0,2,2.0,4,1,1.0,0,0,0,0,1,1,1,0,3,108,2200.0,1.0,2.0,1.2
4.0,2,2.0,4,1,1.0,0,0,0,1,1,1,1,0,3,106,1385.0,1.0,1.0,1.3
5.0,2,2.0,1,0,1.0,0,0,0,0,1,0,0,0,3,70,676.35,2.0,2.0,0.64
4.0,2,2.0,2,0,1.0,0,0,0,0,1,0,0,0,3,70,679.0500000000001,2.0,2.0,0.65
1.0,2,2.0,2,1,1.0,1,0,0,0,1,1,1,0,4,81,1250.0,2.0,1.0,0.95
4.0,2,2.0,3,1,1.0,1,1,0,1,1,1,1,0,1,65,1261.0,2.0,2.0,2.14
4.0,2,2.0,3,1,1.0,1,1,1,1,1,1,1,0,1,65,1261.0,2.0,2.0,2.16
1.0,2,2.0,1,0,1.0,0,0,1,0,0,0,0,0,3,67,1555.2,1.0,2.0,1.55
6.0,2,2.0,1,1,1.0,0,0,0,0,1,0,0,0,3,69,650.7,2.0,0.0,0.7
4.0,2,2.0,2,0,1.0,0,0,0,0,0,0,0,0,3,62,1809.6,1.0,2.0,3.2
0.0,2,2.0,3,1,1.0,0,0,0,0,1,1,1,0,1,65,1261.0,0.0,2.0,2.25
2.0,2,2.0,3,1,0.0,0,0,0,0,0,1,0,0,1,85,1336.5,2.0,2.0,1.75
2.0,2,2.0,2,0,1.0,1,0,0,0,1,1,1,0,2,79,1917.0,2.0,1.0,1.89
2.0,2,2.0,2,0,1.0,1,0,0,0,1,0,0,0,2,79,1495.8000000000002,2.0,1.0,1.6
4.0,2,2.0,2,0,1.0,0,0,0,0,1,0,0,0,1,107,660.1500000000001,0.0,2.0,0.45
4.0,2,2.0,2,0,1.0,0,0,0,0,0,1,1,0,3,103,1481.0,2.0,2.0,1.5
4.0,2,2.0,4,0,0.0,0,0,0,0,1,1,1,0,2,106,1366.0,2.0,1.0,2.1
