,Facing,No_Bedroom,No_Bathroom,No_Balcony,Corner_Property,Furnishing,study room,servant room,store room,pooja room,Overlooking_main road,Overlooking_club,Overlooking_pool,Overlooking_NA,flat_age,sector_num,Super Built-up Area,luxury_category,floor_category,price
3757,North-East,5,5.0,3+,Yes,Semifurnished,1,1,0,0,1,1,1,0,Moderately Old,67,5481.0,Standard,Low Floor,8.2
3758,North-East,4,4.0,2,Yes,Furnished,1,1,1,0,0,0,0,0,Relatively New,81,2872.0,Luxury,Low Floor,5.0
3759,East,3,3.0,2,Yes,Semifurnished,0,1,0,0,0,0,1,0,Relatively New,81,2132.0,Luxury,High Floor,3.6
3760,East,3,3.0,2,Yes,Unfurnished,0,1,0,0,0,0,1,0,Under Construction,62,2714.4,Luxury,High Floor,4.3
3761,North,4,4.0,3+,Yes,Semifurnished,1,1,1,1,1,1,1,0,Relatively New,49,2224.0,Luxury,Low Floor,3.05
3762,North,3,3.0,3,No,Semifurnished,0,0,0,0,0,0,0,0,Moderately Old,92,1620.0,Budget,High Floor,1.1
3763,North-East,4,4.0,3+,Yes,Semifurnished,0,1,0,0,1,1,1,0,Relatively New,104,3150.0,Luxury,Low Floor,3.8
3764,North-West,3,3.0,3+,Yes,Semifurnished,0,1,1,0,1,0,0,0,New Property,37,1800.0,Luxury,High Floor,1.51
3765,East,3,2.0,3,Yes,Semifurnished,0,0,0,0,1,1,1,0,New Property,92,1620.0,Budget,Mid Floor,1.3
3766,East,4,4.0,3,Yes,Semifurnished,1,1,0,0,0,1,1,0,Under Construction,62,3039.0,Standard,Mid Floor,6.05
3767,North-West,3,4.0,3+,Yes,Furnished,0,1,0,0,1,1,1,0,Relatively New,82,2092.0,Standard,High Floor,3.4
3768,North,4,4.0,3+,Yes,Unfurnished,1,1,0,1,1,1,1,0,New Property,2,6000.0,Standard,Mid Floor,9.0
3769,East,3,4.0,3+,Yes,Unfurnished,0,1,0,0,1,1,1,0,Relatively New,79,2366.0,Luxury,Mid Floor,2.75
3770,East,3,3.0,3,No,Semifurnished,0,0,0,0,0,0,0,1,Relatively New,37,1811.0,Budget,Low Floor,1.98
3771,East,4,5.0,3+,Yes,Semifurnished,0,1,0,0,0,0,0,0,Relatively New,67,3624.750000000001,Standard,High Floor,4.5
3772,East,4,4.0,3,Yes,Semifurnished,0,1,0,0,1,1,1,0,Relatively New,65,4992.0,Standard,High Floor,13.0
