,Facing,No_Bedroom,No_Bathroom,No_Balcony,Corner_Property,Furnishing,study room,servant room,store room,pooja room,Overlooking_main road,Overlooking_club,Overlooking_pool,Overlooking_NA,flat_age,sector_num,Super Built-up Area,luxury_category,floor_category,price
3356,East,4,4.0,3+,No,Furnished,1,1,0,1,1,1,1,0,Under Construction,95,3854.4,Standard,Mid Floor,5.25
3357,East,3,4.0,3+,Yes,Semifurnished,0,0,0,0,1,0,0,0,New Property,63,4177.2,Standard,Low Floor,5.15
3358,East,3,3.0,3+,Yes,Semifurnished,1,0,0,0,1,1,1,0,Under Construction,95,2960.4,Luxury,High Floor,3.82
3359,West,4,4.0,3+,No,Semifurnished,1,1,1,0,1,0,0,0,Moderately Old,65,5210.0,Standard,High Floor,13.03
3360,West,3,4.0,3,No,Semifurnished,0,1,0,0,1,1,1,0,New Property,65,2054.0,Standard,Low Floor,3.9
3361,North,3,4.0,3+,No,Semifurnished,0,1,0,0,1,1,1,0,New Property,65,2040.0,Standard,Low Floor,3.85
3362,East,4,4.0,3+,No,Furnished,1,1,0,1,1,1,1,0,Old Property,54,3160.0,Luxury,Mid Floor,8.5
3364,East,3,3.0,2,Yes,Semifurnished,0,0,0,0,1,1,1,0,Relatively New,108,1711.0,Standard,High Floor,3.25
3365,North,3,3.0,3,Yes,Unfurnished,0,1,0,0,0,0,0,0,Under Construction,85,2874.15,Luxury,Mid Floor,2.8
3366,East,4,4.0,3+,No,Semifurnished,1,1,0,1,1,1,1,0,Moderately Old,54,3160.0,Luxury,Mid Floor,8.5
3367,East,4,4.0,3+,Yes,Semifurnished,0,1,0,0,1,1,1,0,Relatively New,81,2872.0,Standard,Mid Floor,5.0
3368,North-East,4,6.0,3+,No,Semifurnished,1,1,0,0,1,1,1,0,Under Construction,63,3950.0,Standard,Mid Floor,8.2
3369,North-East,4,6.0,3+,No,Semifurnished,1,1,0,0,1,1,1,0,Under Construction,63,3950.0,Standard,Mid Floor,8.0
3370,East,3,3.0,2,No,Semifurnished,1,0,0,1,1,1,0,0,Under Construction,106,2544.75,Luxury,High Floor,2.75
3371,West,4,5.0,2,No,Semifurnished,0,1,0,1,0,0,0,0,New Property,23,3500.0,Budget,Low Floor,4.25
3372,North-East,4,4.0,3+,Yes,Semifurnished,0,1,1,1,0,0,0,1,New Property,43,5224.5,Standard,High Floor,9.5
3373,North-East,4,6.0,3+,Yes,Semifurnished,1,1,0,0,1,1,1,0,Under Construction,63,3950.0,Standard,High Floor,8.4
3374,West,3,4.0,3,No,Semifurnished,0,1,0,0,1,0,0,0,Moderately Old,43,1983.0,Standard,Mid Floor,6.0
3375,North-East,4,4.0,3+,Yes,Unfurnished,0,0,0,0,1,1,1,0,Under Construction,108,2423.0,Standard,High Floor,4.75
3378,North-East,3,3.0,2,No,Semifurnished,0,0,0,1,1,1,1,0,Old Property,82,2430.0,Luxury,Mid Floor,2.45
3379,North-East,3,3.0,3,Yes,Unfurnished,0,1,0,0,0,0,0,0,New Property,89,1910.0,Standard,High Floor,1.54
3380,South,3,3.0,3,No,Semifurnished,1,0,1,1,0,0,0,0,Under Construction,113,2015.0,Luxury,Mid Floor,3.35
3381,North-East,3,4.0,3+,No,Unfurnished,0,1,0,0,1,1,1,0,Under Construction,106,2002.0,Luxury,Mid Floor,3.15
3382,North,3,3.0,3+,No,Semifurnished,0,0,0,0,0,1,1,0,New Property,79,2050.0,Luxury,High Floor,2.36
3383,North-West,3,4.0,3,No,Semifurnished,0,1,0,0,0,1,1,0,Relatively New,109,2095.0,Luxury,Mid Floor,2.9
3384,North-East,6,5.0,3+,Yes,Unfurnished,1,1,1,1,1,1,1,0,Relatively New,110,7430.0,Standard,High Floor,8.5
3385,North-East,5,5.0,3+,No,Semifurnished,1,1,0,1,1,1,1,0,Relatively New,110,3880.0,Standard,High Floor,5.6
3386,North-East,3,3.0,3+,No,Unfurnished,0,1,0,0,1,1,1,0,Under Construction,102,1889.0,Luxury,High Floor,2.75
3387,North-East,3,3.0,3+,Yes,Unfurnished,1,1,0,0,1,1,1,0,Under Construction,102,2579.0,Luxury,High Floor,3.45
3388,North-East,3,5.0,2,No,Unfurnished,0,1,0,0,0,1,1,0,Relatively New,112,3763.0,Luxury,High Floor,6.0
3389,North-East,5,5.0,3+,No,Unfurnished,0,1,0,0,0,1,1,0,Relatively New,112,6500.0,Luxury,High Floor,12.0
3390,North-East,4,4.0,3+,No,Unfurnished,0,1,0,0,1,1,1,0,Under Construction,106,2720.0,Luxury,Mid Floor,4.4
3391,North-East,4,4.0,3,No,Unfurnished,0,1,0,0,0,0,0,1,Old Property,67,3222.0,Budget,Low Floor,4.65
3393,West,4,5.0,3+,No,Semifurnished,0,1,0,0,0,1,0,0,Moderately Old,67,3125.0,Standard,Low Floor,6.0
3394,North-East,3,6.0,3+,Yes,Semifurnished,1,1,0,1,0,1,1,0,Relatively New,88,2679.0,Luxury,High Floor,2.6
3395,North-East,3,3.0,3,No,Semifurnished,0,1,0,0,0,0,0,0,Under Construction,79,3051.0,Luxury,Mid Floor,3.44
3396,North-East,4,5.0,3+,No,Semifurnished,0,1,0,1,0,0,0,1,New Property,63,2950.0,Budget,Low Floor,5.25
3397,North-East,5,6.0,3+,No,Semifurnished,1,1,1,1,1,1,1,0,Relatively New,66,10962.0,Standard,High Floor,16.99922
3398,East,3,3.0,3,Yes,Unfurnished,0,0,0,0,0,1,0,0,New Property,89,1957.0,Luxury,Mid Floor,1.36
3399,North-East,3,4.0,3,Yes,Unfurnished,0,1,0,0,1,1,1,0,Moderately Old,109,2095.0,Standard,Low Floor,2.75
3400,East,3,4.0,3+,No,Semifurnished,0,1,0,0,0,0,0,1,Relatively New,109,2150.0,Budget,Low Floor,2.4
3401,East,3,3.0,3,Yes,Semifurnished,0,1,0,1,1,1,1,0,Relatively New,37,1865.0,Standard,Mid Floor,1.95
3402,North,3,3.0,3,Yes,Unfurnished,0,1,0,0,0,0,0,0,Old Property,56,1550.0,Standard,High Floor,1.85
3403,North-East,3,5.0,3+,No,Semifurnished,0,1,1,0,0,0,0,0,Under Construction,63,4000.0,Standard,Mid Floor,5.5
3404,North-East,3,4.0,3,No,Semifurnished,0,1,0,0,1,1,1,0,New Property,59,2595.0,Luxury,High Floor,6.5
3405,North-East,3,4.0,3+,Yes,Semifurnished,0,1,0,1,0,1,1,0,Relatively New,109,1955.0,Luxury,High Floor,2.75
3406,North-East,4,5.0,2,No,Unfurnished,0,1,0,0,1,1,1,0,Moderately Old,110,3350.0,Luxury,Low Floor,4.25
3407,South-East,3,3.0,3,No,Semifurnished,0,0,0,0,1,1,1,0,Relatively New,102,1650.0,Luxury,High Floor,1.89
3408,North-East,3,3.0,3,No,Unfurnished,0,1,0,0,1,1,1,0,Under Construction,102,1852.0,Standard,High Floor,2.7
3409,North-East,4,4.0,3+,No,Semifurnished,0,1,0,0,0,0,1,0,Under Construction,79,3550.5000000000005,Luxury,Mid Floor,3.92
3410,North,4,4.0,3+,No,Semifurnished,0,1,0,0,1,1,1,0,Under Construction,79,2685.0,Luxury,Mid Floor,3.85
3411,North-East,4,4.0,3+,No,Semifurnished,0,0,0,0,0,1,1,0,Relatively New,59,3395.0,Luxury,Low Floor,8.5
3412,North-East,3,3.0,2,No,Unfurnished,0,0,0,0,0,1,1,0,New Property,59,2514.0,Luxury,Mid Floor,5.0
3413,North-West,3,3.0,2,No,Semifurnished,1,1,0,1,1,1,1,0,Moderately Old,82,2430.0,Luxury,Mid Floor,2.55
3414,North-East,3,3.0,3,Yes,Unfurnished,0,0,0,0,1,1,1,0,Moderately Old,109,1745.0,Standard,Low Floor,2.15
3415,North-East,3,3.0,3,No,Unfurnished,0,1,0,0,0,1,1,0,Relatively New,112,2802.0,Luxury,High Floor,5.0
3416,North-East,4,6.0,3+,No,Unfurnished,0,1,0,0,0,1,1,0,Relatively New,112,4857.0,Luxury,High Floor,7.2
3417,East,3,4.0,3+,Yes,Unfurnished,0,1,0,0,1,1,1,0,Relatively New,102,1889.0,Standard,High Floor,2.45
3418,East,4,4.0,3+,No,Semifurnished,0,1,0,0,1,0,1,0,Relatively New,65,1975.0,Standard,High Floor,3.95
3419,East,3,3.0,2,No,Semifurnished,0,0,1,0,0,0,0,1,New Property,89,1424.0,Budget,High Floor,1.45
3420,East,3,3.0,3,No,Semifurnished,0,1,0,0,0,0,0,0,Moderately Old,111,2440.0,Luxury,High Floor,3.85
3421,North-East,4,5.0,3+,Yes,Semifurnished,0,1,0,0,1,1,1,0,Relatively New,102,2860.0,Luxury,High Floor,4.5
3422,North-East,3,4.0,3+,No,Semifurnished,0,1,0,0,1,1,1,0,Relatively New,102,1931.0,Standard,High Floor,2.75
3423,North-East,3,3.0,2,No,Semifurnished,1,0,0,0,1,1,1,0,New Property,71,1650.0,Standard,Low Floor,2.4
3424,North-East,4,4.0,2,No,Semifurnished,1,0,0,0,1,1,1,0,Under Construction,66,3505.0,Luxury,High Floor,6.25
3425,North,3,3.0,3+,No,Semifurnished,0,1,0,0,1,1,1,0,Under Construction,79,3051.0,Luxury,Mid Floor,3.4
3426,North,3,4.0,3+,No,Semifurnished,0,1,0,0,0,0,0,0,New Property,79,2150.0,Luxury,High Floor,2.45
3427,South-East,3,4.0,3,Yes,Unfurnished,0,1,0,0,1,1,1,0,Relatively New,109,2095.0,Luxury,Low Floor,2.9
3428,North-East,3,4.0,1,Yes,Unfurnished,0,1,0,0,0,0,1,0,New Property,102,2000.0,Luxury,High Floor,2.28
3429,North-East,5,5.0,3+,No,Unfurnished,0,1,0,0,1,1,1,0,Moderately Old,110,3880.0,Luxury,High Floor,6.0
3430,East,4,4.0,3,No,Semifurnished,1,0,0,0,0,0,0,0,Under Construction,37,4455.0,Luxury,Mid Floor,4.78
3431,North,4,5.0,3+,No,Semifurnished,0,1,0,0,0,0,0,0,Old Property,60,2800.0,Standard,Low Floor,5.6
3432,East,3,2.0,3+,Yes,Semifurnished,0,0,0,0,1,0,0,0,Moderately Old,50,1629.0,Standard,High Floor,2.55
3433,North,3,3.0,3,No,Semifurnished,1,0,0,0,0,1,0,0,Under Construction,76,2257.2000000000003,Budget,Mid Floor,1.95
3434,East,4,4.0,3,Yes,Semifurnished,1,1,1,1,1,1,1,0,Moderately Old,54,4200.0,Standard,Low Floor,13.5
3435,East,4,4.0,3,Yes,Semifurnished,0,1,1,1,1,1,1,0,Moderately Old,54,4200.0,Luxury,Low Floor,13.25
3436,North-East,4,4.0,3+,Yes,Semifurnished,0,1,0,0,1,1,0,0,Old Property,54,2721.0,Luxury,High Floor,8.55
3437,North,3,2.0,2,No,Semifurnished,0,0,0,0,0,0,0,0,Moderately Old,70,1137.0,Luxury,High Floor,1.45
3438,East,5,6.0,3+,No,Semifurnished,0,1,0,0,0,0,0,0,Relatively New,65,5210.0,Standard,Mid Floor,12.0
3439,East,4,4.0,3,No,Semifurnished,0,1,0,1,0,1,1,0,Relatively New,2,5350.0,Luxury,Low Floor,8.25
3440,North-East,3,3.0,3,No,Semifurnished,0,1,0,0,0,0,0,0,New Property,59,2095.0,Luxury,Mid Floor,5.0
3441,North-East,4,4.0,3+,No,Semifurnished,0,1,0,0,1,1,1,0,Relatively New,59,3395.0,Luxury,Low Floor,8.75
3442,North-East,4,4.0,3+,No,Semifurnished,0,1,0,0,1,1,1,0,Relatively New,59,3395.0,Luxury,Low Floor,8.74
3443,North-East,3,3.0,3,No,Semifurnished,0,1,0,0,1,0,0,0,Moderately Old,62,1996.0,Luxury,Low Floor,3.6
3444,North-East,3,3.0,2,No,Semifurnished,0,0,0,1,1,1,1,0,Old Property,81,2835.0,Luxury,Mid Floor,3.18
3445,North,4,4.0,3,No,Furnished,0,0,0,1,0,1,0,0,Old Property,81,3854.250000000001,Luxury,Mid Floor,4.7
3446,North-East,3,3.0,3+,Yes,Semifurnished,1,0,0,0,1,1,1,0,Under Construction,113,2767.5,Standard,Mid Floor,4.0
3447,East,4,7.0,3+,Yes,Semifurnished,1,1,0,1,0,0,1,0,Relatively New,67,5970.0,Standard,Low Floor,9.0
3448,North-East,3,3.0,3,No,Unfurnished,0,0,0,0,0,0,0,1,New Property,37,1820.0,Budget,High Floor,1.45
3449,North-East,3,5.0,3,Yes,Semifurnished,0,1,0,0,1,0,0,0,Relatively New,70,1950.0,Luxury,High Floor,2.25
3450,North-East,4,5.0,3,No,Semifurnished,1,1,0,0,1,1,1,0,Under Construction,43,2430.0,Standard,High Floor,6.0
3451,North-East,3,3.0,3,No,Semifurnished,1,0,0,0,1,0,0,0,Under Construction,79,2101.9500000000003,Luxury,Mid Floor,1.99
3452,North-East,3,3.0,3,Yes,Semifurnished,0,0,0,1,1,1,1,0,New Property,37,1775.0,Standard,High Floor,1.51
3453,North,3,3.0,3,Yes,Semifurnished,0,0,0,1,1,1,1,0,New Property,37,1800.0,Standard,High Floor,1.52
3454,East,3,4.0,3,No,Semifurnished,1,0,0,0,0,0,0,1,Under Construction,37,2623.0,Budget,Mid Floor,4.25
3455,North,3,3.0,3,No,Semifurnished,0,0,0,1,0,0,0,0,Under Construction,111,1605.0,Luxury,Mid Floor,2.89
3456,North,3,3.0,3,No,Semifurnished,0,0,0,0,0,1,1,0,Relatively New,102,1889.0,Luxury,Mid Floor,2.58
3457,South-West,5,5.0,3+,Yes,Unfurnished,1,1,0,0,1,1,0,0,Relatively New,2,10000.0,Luxury,Low Floor,9.25
3458,East,4,4.0,3,Yes,Unfurnished,1,0,0,0,0,0,0,0,Under Construction,76,3695.0,Luxury,Mid Floor,5.22
3459,North-East,3,4.0,3+,No,Semifurnished,0,1,0,0,1,1,1,0,Relatively New,81,2100.0,Luxury,High Floor,3.5
3460,East,3,3.0,3,Yes,Unfurnished,0,0,0,0,1,0,0,0,Relatively New,109,1745.0,Luxury,Low Floor,2.25
3461,East,3,3.0,3,No,Semifurnished,0,0,0,0,0,0,1,0,Old Property,43,1395.0,Luxury,Low Floor,3.2
3462,South-East,3,3.0,2,No,Semifurnished,0,0,0,1,1,1,1,0,New Property,33,1789.0,Luxury,High Floor,2.45
3463,North-East,3,3.0,2,No,Semifurnished,0,0,1,0,0,0,1,0,New Property,33,1789.0,Luxury,Low Floor,2.6
3464,North-East,3,4.0,3+,Yes,Semifurnished,1,1,0,1,1,1,1,0,New Property,37,2035.0,Standard,Low Floor,1.4
3465,North,4,4.0,3+,No,Semifurnished,0,1,0,0,0,0,1,0,New Property,102,2400.0,Luxury,High Floor,2.9
3466,East,3,3.0,2,Yes,Unfurnished,0,1,0,0,1,1,1,0,Under Construction,113,2617.0,Standard,High Floor,4.0
3467,East,3,5.0,2,Yes,Unfurnished,0,1,0,0,1,1,1,0,Relatively New,108,2343.0,Standard,High Floor,4.7
3468,East,3,4.0,3,No,Semifurnished,0,0,0,0,0,0,0,1,Relatively New,102,1950.0,Luxury,High Floor,2.55
3469,East,3,3.0,3,No,Semifurnished,0,0,0,0,0,0,0,1,Relatively New,69,1620.0,Luxury,High Floor,2.25
3470,North-East,4,5.0,3,Yes,Semifurnished,0,1,0,0,1,1,1,0,Moderately Old,54,2704.0,Budget,High Floor,8.99
3471,North,4,4.0,3+,No,Semifurnished,0,1,1,0,0,1,1,0,Moderately Old,54,2717.0,Luxury,Low Floor,9.5
3472,North-East,3,3.0,2,No,Semifurnished,1,0,0,0,0,0,0,0,Under Construction,79,1687.5,Luxury,Mid Floor,2.15
3473,North,3,3.0,3+,No,Semifurnished,0,1,0,0,1,1,1,0,Under Construction,79,3051.0,Luxury,Mid Floor,3.45
3474,East,3,3.0,3+,Yes,Semifurnished,0,1,0,0,1,1,1,0,Relatively New,81,2103.0,Luxury,High Floor,3.55
3475,North-East,3,3.0,3,Yes,Semifurnished,0,0,0,0,1,1,1,0,Relatively New,102,1689.0,Standard,Mid Floor,2.15
3476,North,3,3.0,3,Yes,Semifurnished,1,1,0,1,0,1,1,0,New Property,59,2595.0,Luxury,Low Floor,6.1
3477,South,4,4.0,3+,Yes,Semifurnished,1,1,1,0,0,1,0,0,New Property,66,3100.0,Standard,Mid Floor,3.9
3478,West,4,4.0,3,No,Semifurnished,0,1,0,0,0,0,0,0,Old Property,43,2385.0,Luxury,Low Floor,6.25
3479,East,4,6.0,3+,Yes,Unfurnished,0,1,0,0,1,1,1,0,Relatively New,103,2875.0,Luxury,High Floor,2.7
3480,North-East,3,3.0,3,No,Semifurnished,0,0,0,1,1,1,1,0,New Property,33,1789.0,Luxury,Low Floor,2.5
3481,North-East,3,3.0,3+,Yes,Semifurnished,1,0,0,0,1,1,1,0,New Property,103,1762.0,Standard,Low Floor,1.45
3482,West,3,3.0,3+,No,Semifurnished,0,1,0,1,1,1,1,0,Relatively New,86,1930.0,Luxury,Mid Floor,2.1
3483,North-West,4,4.0,3+,Yes,Semifurnished,0,1,0,1,1,0,0,0,Relatively New,2,5350.0,Standard,High Floor,7.5
3484,North-East,4,4.0,3,Yes,Semifurnished,1,0,0,1,1,1,1,0,Under Construction,65,2600.0,Standard,Mid Floor,4.29
3485,North-East,4,4.0,3+,Yes,Semifurnished,0,1,1,1,1,1,1,0,Under Construction,2,4750.0,Standard,High Floor,9.8
3486,North-East,4,4.0,3+,Yes,Semifurnished,0,1,1,1,1,1,1,0,Under Construction,2,4750.0,Standard,Mid Floor,8.55
3487,East,3,3.0,3+,No,Semifurnished,0,0,0,0,0,0,1,0,Relatively New,109,1750.0,Luxury,Low Floor,1.92
3488,North,3,3.0,2,No,Semifurnished,0,1,0,0,1,0,0,0,New Property,112,2802.0,Standard,High Floor,4.5
3489,East,3,4.0,3+,Yes,Semifurnished,1,1,1,1,1,1,1,0,Under Construction,113,2471.8500000000004,Standard,Mid Floor,2.8
3490,South-East,3,3.0,3+,Yes,Semifurnished,0,1,0,0,1,1,1,0,Moderately Old,82,2520.0,Luxury,High Floor,3.15
3491,East,4,3.0,2,No,Semifurnished,0,1,0,0,0,1,0,0,Moderately Old,65,1975.0,Luxury,High Floor,3.8
3492,East,3,3.0,3+,Yes,Semifurnished,0,0,0,0,1,1,1,0,New Property,37,2485.2,Standard,Mid Floor,2.1
3493,North-East,3,4.0,3+,No,Semifurnished,0,1,0,0,1,1,1,0,Under Construction,61,2250.0,Standard,Mid Floor,4.49
3494,East,3,4.0,2,Yes,Semifurnished,0,1,0,0,0,0,1,0,Relatively New,111,2200.0,Luxury,Low Floor,3.6
3495,East,3,3.0,3+,Yes,Semifurnished,1,0,0,0,1,1,1,0,Under Construction,93,1530.0,Standard,Mid Floor,1.75
3496,East,4,5.0,2,No,Unfurnished,0,1,0,0,1,1,1,0,Relatively New,67,3154.0,Luxury,High Floor,6.0
3497,North-East,4,4.0,3,No,Semifurnished,1,0,0,0,1,1,1,0,Under Construction,63,3710.0,Standard,Low Floor,7.05
3498,North,3,3.0,3,No,Semifurnished,0,1,0,0,1,0,0,0,Under Construction,79,2101.9500000000003,Luxury,High Floor,2.19
3500,East,4,4.0,3,No,Semifurnished,0,1,0,0,0,1,1,0,Under Construction,37,3625.0,Luxury,Low Floor,5.2
3502,North,3,3.0,3+,No,Furnished,0,1,0,0,0,0,0,1,Relatively New,84,2250.0,Luxury,High Floor,2.15
3503,East,3,3.0,3,No,Semifurnished,1,0,0,0,1,1,0,0,Moderately Old,56,2092.5,Budget,Low Floor,2.0
3504,East,3,3.0,3+,Yes,Semifurnished,0,0,0,0,1,1,1,0,Relatively New,82,1818.0,Standard,Low Floor,3.1
3505,North,3,4.0,3,No,Semifurnished,1,1,1,1,0,0,1,0,Under Construction,76,2766.0,Luxury,Mid Floor,4.25
3506,West,3,2.0,3,Yes,Semifurnished,0,0,1,0,1,1,1,0,New Property,68,1483.0,Standard,Mid Floor,1.7
3507,North,3,3.0,3,No,Semifurnished,1,0,0,0,0,0,0,0,Relatively New,83,1740.0,Luxury,Mid Floor,1.7
3508,East,3,4.0,3+,Yes,Semifurnished,1,1,0,1,0,1,1,0,Under Construction,59,3106.0,Standard,High Floor,7.1
3509,North,3,4.0,2,Yes,Semifurnished,1,1,1,0,0,1,1,0,Under Construction,59,2295.0,Standard,Low Floor,5.68
3510,East,3,4.0,2,Yes,Semifurnished,1,1,1,1,1,0,0,0,Under Construction,59,2295.0,Luxury,High Floor,5.58
3511,East,3,4.0,2,Yes,Semifurnished,1,1,0,1,1,0,0,0,New Property,59,2295.0,Standard,High Floor,5.6
3512,East,3,3.0,3,No,Semifurnished,1,0,0,0,0,0,0,1,Under Construction,37,2623.0,Budget,Mid Floor,3.8
3513,North-East,3,4.0,3,Yes,Semifurnished,0,1,0,1,1,1,1,0,Moderately Old,89,2970.0,Luxury,Low Floor,1.96
3514,East,3,3.0,3,No,Semifurnished,1,0,0,0,1,1,1,0,New Property,37,1865.0,Luxury,High Floor,2.0
3517,West,3,3.0,2,Yes,Semifurnished,1,0,0,0,1,0,0,0,Under Construction,79,1557.0,Standard,Mid Floor,2.3
3518,North-East,3,4.0,2,Yes,Unfurnished,0,0,0,0,1,1,1,0,New Property,108,2003.0,Standard,High Floor,3.85
3519,North-East,4,4.0,3+,Yes,Semifurnished,0,1,0,0,0,1,1,0,Under Construction,70,3090.0,Luxury,Mid Floor,4.25
3520,East,5,6.0,3+,Yes,Semifurnished,0,1,1,1,1,1,1,0,Moderately Old,62,6750.0,Standard,Low Floor,13.0
3521,North-East,3,5.0,2,No,Semifurnished,0,1,0,0,1,1,1,0,Moderately Old,62,3858.0,Standard,Low Floor,11.0
3522,East,3,3.0,2,Yes,Semifurnished,1,1,1,1,0,0,1,0,New Property,59,3114.0,Standard,High Floor,6.3
3523,East,3,3.0,2,Yes,Semifurnished,0,1,0,0,0,0,0,0,Under Construction,79,2100.0,Luxury,High Floor,2.7
3524,East,4,4.0,3,No,Furnished,1,1,0,0,1,1,1,0,Under Construction,77,4292.4,Standard,High Floor,7.1
3525,East,3,3.0,3+,Yes,Semifurnished,0,0,0,0,1,1,1,0,New Property,102,2500.2000000000003,Standard,High Floor,2.3
3526,North,3,3.0,3,No,Semifurnished,0,0,1,0,0,0,0,0,Moderately Old,49,1900.0,Luxury,High Floor,3.11
3527,South-West,3,3.0,2,Yes,Semifurnished,0,1,0,0,1,1,1,0,Relatively New,82,1960.0,Standard,Low Floor,1.85
3528,West,4,4.0,3+,No,Semifurnished,1,1,1,1,0,0,0,1,Under Construction,65,4550.0,Budget,High Floor,12.9
3529,East,3,3.0,3+,Yes,Semifurnished,0,0,0,0,0,1,1,0,New Property,106,19967.0,Luxury,High Floor,3.0
3530,East,4,4.0,3,No,Semifurnished,1,0,0,0,1,1,1,0,Moderately Old,67,3103.0,Luxury,Mid Floor,6.52
3531,North-East,4,4.0,3+,No,Semifurnished,0,0,0,0,1,1,1,0,Relatively New,65,3712.500000000001,Luxury,Low Floor,3.85
3532,South-West,3,4.0,2,Yes,Semifurnished,0,1,0,0,1,1,1,0,Relatively New,82,1790.0,Standard,Low Floor,1.85
3533,North,3,5.0,3+,No,Semifurnished,1,1,1,1,1,1,1,0,Relatively New,53,2450.0,Standard,High Floor,7.0
3534,North,4,4.0,3+,No,Semifurnished,1,1,1,1,1,1,1,0,Relatively New,53,6142.5,Standard,Low Floor,9.0
3535,North,3,4.0,3+,No,Semifurnished,1,1,1,1,1,1,1,0,Relatively New,59,4083.750000000001,Standard,High Floor,7.0
3536,North,4,6.0,3+,No,Semifurnished,1,1,1,1,1,1,1,0,Relatively New,54,3541.0,Standard,High Floor,16.25
3537,North,4,6.0,3+,No,Semifurnished,1,1,1,1,1,1,1,0,New Property,54,3541.0,Standard,Low Floor,15.95
3538,North,3,4.0,3+,No,Semifurnished,1,1,1,1,1,1,1,0,Relatively New,53,3425.0,Standard,Mid Floor,7.5
3539,North,4,4.0,3+,No,Semifurnished,1,1,1,1,1,1,1,0,Relatively New,53,3390.0,Standard,Mid Floor,10.0
3540,North,3,4.0,3+,No,Semifurnished,1,1,1,1,1,1,1,0,Relatively New,54,1875.0,Standard,Low Floor,6.0
3541,North,3,4.0,3+,No,Semifurnished,1,1,1,1,1,1,1,0,Relatively New,54,1875.0,Standard,Mid Floor,5.85
3542,North,4,6.0,3,No,Semifurnished,1,1,1,1,1,1,1,0,Relatively New,54,3536.0,Standard,High Floor,17.0
3543,North,4,6.0,3+,No,Semifurnished,1,1,1,1,1,1,1,0,Relatively New,54,3541.0,Standard,Low Floor,16.5
3544,North,4,6.0,3+,No,Semifurnished,1,1,1,1,1,1,1,0,Relatively New,54,3541.0,Standard,Low Floor,16.0
3545,North,5,6.0,3+,No,Semifurnished,1,1,1,1,1,1,1,0,Relatively New,53,7447.950000000001,Standard,Low Floor,12.95
3546,North,5,6.0,3+,No,Semifurnished,1,1,1,1,1,1,1,0,Relatively New,53,7447.950000000001,Standard,Low Floor,13.5
3547,North,4,4.0,3,No,Semifurnished,1,1,1,1,1,1,1,0,Relatively New,54,2721.0,Standard,High Floor,8.5
3548,North,4,4.0,3+,No,Semifurnished,1,1,1,1,1,1,1,0,Relatively New,54,2721.0,Standard,High Floor,9.0
3549,North,4,5.0,3+,No,Semifurnished,1,1,1,1,1,1,1,0,Relatively New,54,4072.0,Standard,High Floor,13.0
3550,North,4,5.0,3+,No,Semifurnished,1,1,1,1,1,1,1,0,Relatively New,54,4089.0,Standard,Mid Floor,12.5
3551,North,5,6.0,3+,No,Semifurnished,1,1,1,1,1,1,1,0,Relatively New,53,4665.0,Standard,High Floor,11.65
3552,North,3,3.0,3,Yes,Semifurnished,1,1,1,1,1,1,1,0,New Property,65,2185.2,Standard,Mid Floor,3.3
3553,East,3,3.0,3,Yes,Semifurnished,0,0,1,0,1,1,1,0,Under Construction,93,1496.0,Standard,Low Floor,1.7
3554,East,3,4.0,3,No,Semifurnished,0,1,0,0,0,0,0,1,Moderately Old,81,2092.0,Budget,High Floor,3.5
3555,North-East,3,3.0,3+,No,Semifurnished,0,0,0,1,0,1,1,0,Under Construction,63,2384.0,Standard,Low Floor,2.6
3556,North,3,4.0,1,No,Semifurnished,1,1,0,1,1,1,1,0,New Property,59,3098.25,Standard,Mid Floor,5.51
3557,North,3,3.0,2,Yes,Semifurnished,0,0,0,1,0,0,0,0,Old Property,43,2000.0,Standard,Mid Floor,4.0
3558,East,3,3.0,2,No,Unfurnished,0,0,0,0,0,0,0,1,Relatively New,102,1669.0,Budget,Mid Floor,2.29
3559,East,4,4.0,3,No,Semifurnished,1,0,0,0,0,1,0,0,Relatively New,81,3495.0,Luxury,High Floor,4.25
3560,West,3,3.0,2,No,Semifurnished,0,0,0,1,0,0,0,0,Relatively New,69,1578.0,Luxury,High Floor,2.2
3561,East,4,4.0,3+,No,Semifurnished,1,1,0,1,1,1,1,0,Old Property,24,7000.0,Luxury,Mid Floor,17.0
3562,West,3,3.0,3+,No,Semifurnished,0,1,0,0,0,0,0,0,Old Property,49,2061.0,Luxury,Mid Floor,3.29
3563,East,3,4.0,3+,Yes,Semifurnished,0,1,0,0,1,1,1,0,Relatively New,108,2003.0,Standard,Mid Floor,2.22
3564,North-East,3,4.0,3+,No,Semifurnished,0,1,0,0,1,1,1,0,New Property,88,2059.0,Standard,Mid Floor,2.25
3566,East,3,4.0,3,Yes,Semifurnished,0,1,0,0,1,1,1,0,Relatively New,59,3098.25,Standard,Mid Floor,5.75
3567,East,3,3.0,3+,Yes,Semifurnished,1,0,0,0,1,1,0,0,Under Construction,79,2282.4,Standard,Mid Floor,2.62
3568,North-East,3,4.0,3,No,Semifurnished,0,1,0,0,0,0,0,1,New Property,85,2122.2000000000003,Standard,Low Floor,2.95
3569,North,4,4.0,3+,No,Furnished,0,1,1,1,1,0,1,0,Relatively New,24,9180.0,Standard,Mid Floor,14.0
3570,North-East,3,3.0,3+,Yes,Semifurnished,1,1,0,0,1,1,1,0,Relatively New,65,3799.0,Standard,High Floor,8.48
